Entry,Interacts with
Q07325,Q86WK6; Q13520; Q9UN42; J3KQ12; Q6UXG8-3; O00585; Q9Y258; P13501; P20138; Q9H9P2; P57739; O00501; O95471; Q6ZS10; Q9UHP7-3; Q9ULY5; Q9BXN2-6; P02778; P48061; O95715; P27487; Q6UW88-2; O14944; P12318-2; O15552; Q96LL3; Q8TBE3; Q11130; P08034; Q5T7V8; O15529; P38484; Q9NQX7-3; Q8N6L0; P43628; Q5T700; A8MZ59; Q8N386; Q8N112; Q95460-2; Q9H2K0; P15941-11; O14524-2; P02776; P02775; P54829; Q9UBD6; P11686; Q14973; Q9NY26; Q8WWF3; Q96L08; Q8N205; Q96CE8; Q9Y3A6; Q9BVX2; Q8WY98; Q96Q45-2; O15393-2; O43557; P32971; Q8WUV1
P02656,Q9Y282; Q5JX71; Q8TED1
P43632,P01889; P10321; P30511
Q04323,V9HW80; Q9Y263; Q9HCM9; Q7KZS0; Q9UMX0; Q9UMX0-2; Q8WU02; O00154-4; Q14203-5; Q08426; P04792; Q9UBY9; O60333-2; P02545; Q9Y263; Q9BUI4; O60260-5; P54725; Q9Y3C5; P37840; Q9UHD9; O76024
P16284,Q6DHV7-2; Q8N302-2; P54819; P61966-2; Q6XD76; Q9UMX3; Q96G97-4; Q8TAB5; Q9UQM7; Q96HB5; Q9Y3D0; O75175; Q9NX09; P49184; A0A024RCP2; Q99944; Q6NXG1; Q99504; Q96GL9; O15287; P14136; Q4G1C9-2; Q96LI6; O75874; Q0VD86; P14923; Q6ZU52; Q96E93; Q6IAA8; Q14847-2; P09382; Q6ZQX7-4; Q9NS73-5; Q14728; Q13405; I6L9F6; Q9GZQ6; Q9HB63; Q9P286; Q16549; Q8TBJ4; Q96PV4; Q8NBT0; Q8WUY3; Q06124; P29350; Q96I25; Q9UJD0; P61513; Q8NC51; P12757; Q8NCS7; Q12824; Q7Z614-3; Q8IUW3; Q08AE8; Q96BD6; Q99619; P12931; P46977; Q9H7C4; O60506-4; O15273; P15923-3; Q13428-5; Q5T1C6; Q7Z403; Q96JJ7-2; Q12888; Q5VYS8-5; Q08AM6; Q9H270; Q5JSH3; P19544-6; Q6ZSB9; P26651; P17024; Q9BQ29
P04179,Q8NHQ1; P04179
O60264,Q9NRL2; Q9UIG0; P62805; Q96T23
P20333,P28799; P01375; Q12933
P00797,P01019
Q693B1,Q693B1
O15162,P05067; A8KA13; Q8NEC5; Q9H2X0; Q16630; Q9UBR2; Q15038; Q9H4E7; Q9NQL9; Q92608; Q92731; Q92731-3; Q01844; O43559; Q9HBR3; O76003; Q9NXX0; P60412; P60411; Q9BYQ6; Q9BYR5; Q6L8G9; Q9BYQ4; Q5TA82; Q5TA78; Q6DKI2; Q8WWR8; Q7Z417; Q16625; Q15077; Q13563; Q9NZ81; P49796; Q9BWG6; Q92922; Q6RVD6; O75716; Q92734; Q8IWZ5; A5D8V6; Q8TAU3; Q96SQ5; A0A0S2Z5X4; P09022; Q8ZG77; Q56973; P69974; P61417; Q9WMX2
Q8WVK1,P05067; Q17RB8
P10415,Q9C0C7; P05067; Q92934; Q16611; Q07812; Q9BXH1; P51572; P10415; O43521; O43521-1; O43521-2; Q9NYF8; Q14457; P55957; Q13323; O60238; Q8N5K1; O15151; Q9C000; P22736; Q13794; O15304; P00441; P04637; Q13625; Q61337; Q91ZE9; P11881; Q5S007; Q13794
P20815,P42858
P02766,Q15109; P05067; PRO_0000000092 [P05067]; Q9NP61; Q9Y575-3; P18848; Q9Y2D1; P15313; Q0VDD7; Q8N163; Q01850; Q494V2-2; Q9Y3D0; Q9Y240; Q6PJW8-3; Q96MW5; Q9UNS2; Q6NXG1; Q49AJ0-4; Q9UHY8; Q7Z602; P68431; Q86U28; Q96SI1-2; Q06136; Q12756; Q9Y2M5; Q8N6F8; P41218; P25713; Q16718; Q7Z6G3-2; Q8NFH3; Q96FW1; Q6GQQ9-2; O75781-2; Q8N3R9; P27986-2; P11908; Q8WUY3; P02753; Q96D59; Q9C004; Q8IXS7; Q8NBJ7; Q8WUA7-2; Q13569; P21980-2; A0AVI4-2; P02766; Q969T4; O95164; Q8IWV7; P45880; P58304; Q9BRX9; Q2QGD7; Q86V28
Q8TE12,P62993; Q86V38; Q92876
P16871,Q6RW13-2; O95236-2; P27449; Q8IX05; Q92520; P13232; Q13021; P11836; P31431; A0PK00; Q9H2L4; O95183
Q16531,Q9H9F9; Q96SW2; Q96SW2-2; Q13619; Q13620; Q9Y4B6; Q9Y4B6-3; Q8TEB1; Q8WV16; Q5TAQ9; Q9BW61; Q92466; Q9NZJ0; O75530; Q969U6-1; Q9ULG1; Q96JM7; P42224; Q04725; Q8N5D0-4; P11207; Q72500; P18045; Q89246; Q9QMH9
P40763,O14874; Q96G01; P51451; P51813; P07384; P50750; P31146; Q99062; Q9UER7; O95661; Q13011; P30084; P00533; P04626; Q15910; Q8TAE8; Q9BVP2; P12268; P23458; Q07666; P25791; O43318; O15264; P45984; P45984-1; Q8TE76; Q92665; Q16236; Q14938-3; Q14938-4; P22736; Q9ULD0; P06401; Q96HA1-2; P32119; P18031; Q04206; P07949; O75116; P46781; O00570; P08047; P30626; P42224; P40763; Q06520; P43405; Q810M5; Q9DUM3; P05067
P24821,P20908; O00206
P01024,O95994; P15529; P00751; P08603; PRO_0000005896 [Q03591]; Q92496-1; P20023; O95967; A6NEM1; Q15323; P60410; Q9H8W4; Q9Y279-1; Q9Y279-2; P08603; PRO_0000005908 [P01024]; Q92496-3; PRO_0000005897 [P36980]; P08603; PRO_0000005897 [P36980]
P05067,Q9NY61; P16112; P60709; P61158; O14672; A0AVL1; P18509; P41586-2; Q15109; Q13155; P63010-2; Q02410; Q99767; O96018; O00213; O00213-2; Q92870; Q92870-2; O95704; P02743; Q96BI3; Q8WW43; Q06481-5; P02647; P05067; Q92624; Q6P4J0; P61204; Q0P5N6; P56211; P05026; P54253; P56817; Q9Y5Z0; Q92934; P46379-2; Q96GW7; P51572; P10415; P23560-2; O15392; Q13867; P35613; Q8IU99; P62158; P27797; O43852-3; Q9UQM7; P27824-2; P07384; P29466-3; P42574; Q14790; Q03135; P83916; P40227; P16671; Q08722-3; P06493; Q00535; P42773; P43681; P36544; Q16740; O94985-2; Q8IUW6; P10909; P26441; Q02246; Q8NE08; Q96A83-2; P29400-2; Q14031; P31146; P20674; P15086; P02511; P48730; P48730-2; P68400; P01034; P49711; P07339; P99999; O75553-4; P98082; Q14203-5; Q13561; Q6I9W9; O14645; Q01658; P21917; Q16828; Q92997; O14576-2; O14576-5; Q01094; Q3B7T1; P20042; P19419; P11171-2; P11171-7; Q9BS26; P00748; P00734; P23142-4; Q92915; P62942; P21333-2; O75955; Q9BTI6; P01100; P25090; P09958; P06241; P04406; Q9UJY5-4; Q05586; P25098; P43250; P43250-2; A4D1B5; P49841-2; Q03013; Q00403; Q9Y5Q9; P09429; P30519; Q9UJC3; Q99714; Q99714-2; P07900; P14625; P11021; P11142; P04792; Q16082; P10809; P42858; Q9UMF0; P14735; Q16352; Q6DN90-2; P05556; Q9Y287; P05412; P17535; Q92993; Q92993-2; Q13303; Q9Y2W7; O60333-2; Q07866-2; O14901; Q92876; P01116-2; Q16363-3; Q9BYZ2; Q96FE5; Q07954-2; Q9NZR2; P30533; P42704; P07948; Q9GZQ8; P36507; P28482; P53778; P10636; Q9P0L2; Q6IPE9; Q96L34; Q00266; P02686-2; Q93074; Q8TDB4; O94851; A4FUJ8; P08473; P08253; Q99547; Q8N594; P41227; Q13765; Q13564; P41271-2; P19404; O76041; P12036; I6L9F6; P21359; P01138; P08138; Q6IAD4; Q99466; P43354; Q6PK61; Q02818; P49757-8; P04181; Q96FW1; P11940; O96013-2; Q99497; Q6ZW49; P61457; P16234-2; P09619; P30101; Q15084; Q15118; Q13113; P18669; Q8WUB8-2; Q8N2W9; P42338; P48736; P27986-2; Q13526; Q9BXM7; Q16512; P00749; Q13393; O14939; P53350; O14494; O15162; Q8WVK1; D3DTS7; P00491; P62937; P62136; P41236; P67775; P63151; Q00005; Q15172; P48454; P17612; P22694; P22694-8; P22612; Q9UGJ0-3; Q05655; Q02156; O60260-5; P04156; P60891; P07602; P49768; P49768-2; P49810; Q9NZ42; P28062-2; P17980; Q14289; P20340-2; P63000; P04049; Q96S59; Q9Y272; P61586; Q9Y3C5; Q6ZNA4-2; Q9ULX5; O75116; P46779; Q15349; P23443-4; P04271; P21673; Q6AZY7-2; Q8WTV0; P18827; Q15019-3; O43236; Q99719; Q92599-3; P01011; P29353; Q92529; Q8IUQ4-2; Q7Z2H8; Q9NP59; P84022; Q13485; P37840; Q16143; Q15036; O60749; Q8WV41; Q9UNH7; Q92673; Q99932-2; P11277; Q13501; P61278; P32745; P40763-2; Q8IWL8; O14662-5; Q13190-4; O43752; P61764; Q9Y5B9; P43405; P43405-2; P08247; Q13148; P20226; Q16650; O43680; P01137; P61812; Q15583; Q15583-2; P04216; P04183; Q9BX74; P49755; Q9BTD3; P62328; P01375; O43508; O75888-3; Q96GM8; O14656; O14656-2; Q05BL1; Q13625; Q9C026; Q15714-2; P02766; Q71U36; P68363; P68366; P07437; Q8TBC4; P0CG47; P62837; Q9UMX0; P09936; P13051-2; O75604-3; Q9BVJ6; Q9H270; Q8N0S8; Q96AX1; Q96QK1; Q9GZS3; O76024; O00744; P19544-6; P31946; P17028; Q8N895; Q8NHT4; O35431; P15253; Q8BGY9; Q306T3; Q9H7C9; P63010-2; Q0P5N6; O15392; Q9UHY8; P06241-3; Q12891; Q6DN90-2; Q9BYQ4; O95447; Q9BYZ2; Q8TDB4; A4FUJ8; P15941-11; Q13113; Q6ZNA4-2; Q9ULX5; Q2NKQ1-4; Q8IUQ4-2; Q99932-2; Q8IUW3; Q13148; Q16650; Q5HYA8; P09936; Q9GZS3; O00213; P51693; Q06481; P05067-4; Q13867; Q9NZU0; P46089; O43736; Q68DU8; Q96FE5; P04629; Q13526; P60201; P04156; P49768; Q92673; PRO_0000033163 [Q99523]; Q9HCB6; O95793; Q8VEK0; P17677; Q9NSC5; Q9Y287; O95631; Q9UIK5; Q92673; Q8K3H7; Q8VEK0; Q9BYF1; PRO_0000000092 [P05067]; P48047; P36544; P10909-5; PRO_0000005794 [P39060]; PRO_0000033156 [O00230]; Q99714; Q8N423; P10636; P08253; Q9NZV6; P03897; Q8IVG9; O95411; O95631; Q15113; Q08752; P30405; P04156; P11686-1; PRO_0000033088 [P61278]; P21980; O60602; Q9NZC2; P02766; P15253; Q05941; P03452; P97484; K9N5Q8; PRO_0000449647 [P0DTC2]; Q99NH8; P02649; PRO_0000000093 [P05067]; P10909; P49840; P49841; P14735-1; P08253; P08138; Q5JRX3-1; Q08752; Q92673; O60602; P31696; P15253; P07174
P81534,Q13520; Q9Y2C3; Q15125; Q9Y282; Q2M2E3; Q9NY72; Q8IWB4; Q8WWF3; Q9NUH8; O15393-2
P13051,P15927; P61158; P05067; P54252; Q9UQM7; Q14790; P16671; P25685; Q969H0-2; P06241; P27361; Q13765; O14939; P17252; Q14257; P23443; P04271; Q15545; P61812
P02686,Q9GZU7; Q8I629; Q64702; P05067; Q9GZU7; O15194-2; Q9H8W4; P62158
P13727,Q13219
P00740,PRO_0000002968 [P00451]; Q3U4G3
P0DP23,O75874
B4DJ51,P58397; Q92624; O94983-5; Q6IPM2; Q9H0B3; A2RRC9; A0JP07; Q8NCR3
P00742,P0DPK4; Q9UK55; Q9UHD9
Q9BQ89,O95994; Q8TD16-2; O95273; Q01850; Q9H9E3; Q9Y2V7; P49674; Q9GZU7; Q9UI47-2; Q12805; O95967; Q13643; A1L4K1; Q08379; A6NEM1; Q96ED9-2; O75031; P19012; Q7Z3Y8; Q15323; O76011; O76014; O76015; Q6A163; P60410; O95751; Q8N485; Q99687-3; A9UHW6-2; Q13064; Q5JR59-3; P15173; P16333; Q99471; Q8ND90; A6NK89; Q86WH2; Q15293; Q6NUQ1; Q9HAT0; O75558; P15884-3; P36406; P14373; Q9BYV2; Q86WT6; Q86WT6-2; Q86WV8; Q99816; Q8N6Y0; Q8N1B4; Q8NAM6
Q969K3,Q92624; Q14790; P02489; G5E9A7; Q01658; O14908-2; Q53GS7; Q9Y5Q9; Q92876; Q9BZ23-2; Q7Z699
Q9Y5S9,P38919; P61326; Q96A72; Q96SB4; P78362; Q99081-3; Q9H1J1; Q9BZI7; P61326
Q9BUP3,P54852; Q8TB40; Q13520; Q08426; Q5JX71; Q8N6M3; O00258; Q8NBQ5; Q8N5M9; Q9HDC5; Q9NQG6; Q9H2K0; Q9UKF7-2; Q99541; Q9H6H4; Q86VR2; Q9Y371; Q3KNW5; Q12893; Q9Y320
P48506,P48507
P61769,P61769; P06126; P29016; Q9BZW8; Q30201; P01892; Q95460-1; P12004; Q9Y3Y4
Q8NEN9,A0A0F6AZQ1
P23443,Q06481-5; P55884; P08151; Q5VY09; Q00005; P13051-2; P08151; P05067; P27986-2
P11215,O95870; Q13520; Q3SXY8; P11912; Q9HA82; P58418; Q96BA8; Q9UBT3; Q9GZR5; Q9Y282; P48165; P08034; Q5T7V8; O15529; Q7Z5P4; Q8N6L0; P48051; P43628; O14880; Q8N4V1; Q6IN84; P15941-11; O15173; P57054; P21246; Q9BRK0; Q9H6H4; Q96GQ5; Q9NY72; Q3KNW5; Q9NQQ7-3; Q8N9I0; Q9NUH8; Q8NBD8; Q4KMG9; Q9Y320
P14151,Q9BRI3
O00255,O14757; Q9BXW9; P35579; PRO_0000030311 [P19838]; P61964; P17535; Q03164; P35579; PRO_0000030311 [P19838]; PRO_0000030322 [Q00653]; Q04206; Q05982
P07148,P21333-2
P12314,Q15848; P07306; Q13323; O95393; Q86VB7; Q8N6F1-2; Q9BXN2-6; O43491; Q92520; P30273; P01857; O43736; Q8N5M9; Q8TAF8; Q13021; Q92982; Q8IZ57; Q9NS64; Q9H2S6-2; Q5TGU0; O00526; Q6UX27-3; Q9UEU0
Q9NP81,Q96HA8
P25100,P25100; Q14160; Q13424; Q13425; Q61234; Q99L88; Q925E0
P35348,Q96HD1
P16619,Q99735; Q96EQ0; Q96GZ6; Q7Z7N9
P04141,P01023; P32927; P50570-2; P42858; P50222
O00300,P42858; P49768-2; O14788
P53999,P28288-2; P33240-1; Q6P4D5-2; O00560; P53999; P03132
Q9NQ94,Q5BKX5-3; A8MQ03; Q7L591-3; Q16610; Q04637-9; Q14192; Q13643; Q16082; Q96G42; Q15323; O76011; Q8N6F8; O43482; Q58EX7; Q7Z3K3; Q04864; Q9UFD9; Q8NCR6; Q13077; O95810
Q96GD0,P29066
P48023,Q14790; A8MQ03; Q16610; Q13158; P25445; Q96RU3; P06241; Q8IYA8; Q08881; Q14525; Q6A162; Q8IUC1; P60328; A0A0S2Z4D7; P16333-1; O43639; Q7Z3S9; Q9BY11; Q9UNF0; Q9UKS6; P27986; O43586; O76081; O76081-6; Q15436; Q8WV41; Q9Y5X1; O75044; Q63HR2; Q15642; Q15654; Q9DBG3; Q91ZR2
P02647,O95477; P02647; P05067; Q07021; Q96DZ9; Q96DZ9-2; P00738; P13473-2; P04180; Q9Y371; P37840
A1L3X4,P60370; P60411; P50222
Q9NPF7,P29460; P40855
P05019,P08069; P08833; P22692; P06213; Q8N9N5-2; Q9H0I2; Q14696; Q13064; Q8N8B7-2
P28329,Q6H8Q1-8; Q8N302-2; D3DTF8; Q9NXL2-1; Q6XD76; Q9UII2; Q8TBE0; Q9UQB8-6; Q9ULD4-2; Q9NSI6-4; Q6P5X5; Q96LL4; P20807-4; O00257-3; Q6ZP82; O95674; Q9H3R5; Q8WUX9; Q9H2A9; Q92782-2; Q14117; O14641; Q658K8; Q6UXG2-3; O00472; Q6NXG1; Q15910-2; Q8IZU1; P15407; P55318; Q06547-3; P23769-2; P23771; Q15486; Q8IV36; Q4VB01; Q53GQ0; P10809; P41134; Q9NZH6; Q8NA54; Q86U28; P17275; Q8N5Z5; Q6P597; P08727; Q14525; Q8IUC2; Q6IAA8; Q14847-2; P27338; Q9GZQ8; Q53S70; Q5JXC2; A0A0A0MR05; Q8NEH6; Q8TCY5; Q6IN84-2; Q96H12; P01106; P41271-2; P14598; Q9GZM8; Q5BJF6-2; Q3SX64; Q9H8K7; Q9NR21-5; Q5VU43-8; Q13956; Q5SXH7-1; Q96T60; Q96I34; Q86UA1; Q15311; Q8TBY0; Q04206; P47804-3; Q9H0X6; P62899; Q66K80; Q9BY12-3; Q86SQ7-2; Q7Z6I5; Q496A3; Q7Z698; Q9C004; Q92783-2; Q8N4C7; O75528; Q15814; O15273; Q96A09; Q8WTV1; Q53NU3; Q71RG4-4; Q86WT6-2; Q9Y3Q8; Q99598; P49459; P11441; Q9H270; P19544-6; Q53FD0-2; Q3KNS6-3
P25100,P25100; Q14160; Q13424; Q13425; Q61234; Q99L88; Q925E0
P14784,P40933; P60568; Q15645
P43403,P22681; P20963; P07766; P00533; P10721; P06239; P08581; Q9Y2R2; Q8N1K5-1; Q8BGG7
Q9BY32,Q9BY32
P05112,P78552; P24394
Q16655,O95208-2
P08603,P02649; P01024; PRO_0000005908 [P01024]; PRO_0000005915 [P01024]; P08603; P02741; PRO_0000023526 [P02741]; P26022; PRO_0000023545 [P26022]; P02769; P16946; Q9JXV4; P13605; A0A024A2C9; Q932F7; P02741; P02741; P26022; PRO_0000023545 [P26022]; P02741
Q9ULA0,Q9ULA0; Q8TBB1; Q00013
P40189,P26441; P40189; Q9NZI2-2; Q9Y2W7; P15018; P43364; P13725; Q99650; O43765; Q96EQ0; Q2HRC7; P42227; P23458
P19525,P78563-4; P06493; Q7L2E3; Q96C10; Q08211; Q9UPY3; Q6P2E9; P19525; P05198; P56537; Q8IY81; Q9HCE1; Q96P20; P06748; O75569; O75569-1; Q9NUL3; Q15633; Q9H0E2; Q9UL40; Q27968; P20639; P0DTC9; P04487; Q2HR71; PRO_0000278746 [O92972]; PRO_0000037570 [P27958]; PRO_0000037576 [P27958]
Q9H4A3,O95747; P62136; Q93009; P29101
Q03060,Q9Y6K1; P46379-2; O14503; P22607; Q9BZE0; P84074; P37235; Q9BUB5; Q8TDC0; P61601; P62166; P14859-6; Q9BQY4; Q01974; Q9BVN2; P14678-2; P09234; Q5T6F2; O95231
P49792,Q8TD16; P04626; Q53GG5; O60260; P62826; P46060; P63279; Q921C5-1
Q9P2W7,Q96FZ5
P01189,Q9NYB9-2; Q8N8Y2; Q7RTU4; Q9NX04; Q68D86; P62508-3; Q8IVS8; Q7Z4H3; O75031; Q9P2K6; Q13064; Q8NI38; Q96HA8; Q9UMX2-2; P51687; Q99757
P26842,P35609; Q99828; O15304; Q7Z699; PRO_0000449624 [P0DTD1]
P27986,Q8IZP0; P42684; P10275; P30530; P22681; P10747; Q13111; Q8IY22; P46108; P16410; Q9Y2H0; P00533; P41970; P04626; P21860; P48023; P11362; P17948; P36888; Q13480; Q13322; P62993; P42858; Q9Y6W8; P08069; P06213; P35568; Q9Y4H2; P10721; Q86VI4-3; O43561; Q92918; P45983; P08581; Q8WX92; P04629; P09619; P42336; P42338; O00329; Q13905; P26373; P19793; Q9UPX8; Q9H0K1; Q96EB6; Q07889; P12931; P30874; P58753; O15455; Q15661; Q9ULW0; Q9UKW4; P35570; P03496; Q6PFX7; Q8BM65-4; Q99152; P0DOJ9; P01023; Q9NY61; O95704; P05067; P51451; Q9UQM7; P29466-3; P55210; P06493; P20674; P09172; P50570-2; P01100; Q8TB36; P14136; P62993; P42858; P35568; P05556; P05412; P07948; Q13387-4; P41227; P01111; Q9Y6R0; P42336; P42338; O00329; P17612; P49810; P63000; P51812; P23443-4; P34741; Q9NP31; P84022; P12931; Q9UNE7; Q15583-2; O60784-2; O14656-2; P02766; P42681; P60604; Q9UBQ0-2; O76024; Q8IUH5
P33993,Q96MA6; Q68D86; P46527; P49918; Q08379; Q9UL03; Q9BVG8; P07948; P07948-1; Q9NS73-5; P49736; P33991; P33992; Q14566; Q9BTE3; Q9BTE3-2; Q8TD10; P01106; Q15742; P53350; Q8ND90; Q14683; Q02086; Q08945; P14373; Q9BYV2; P0CG47; Q9UMX0-2; Q8N6Y0; P03126; P06462; P06463; P22607; P06396; Q9Y649
Q9UN37,Q9HD42; Q9HD42-1; Q7LBR1; O43633; O95833; Q96K21-1
O60235,O43765
P15036,Q15131; Q8NHY2; Q16236; P17612; P50454; P37173; P04637; Q15672; Q8WVJ9
P49238,Q9P0B6
Q9H3D4,P35637; Q9H2X6; Q99729; P61978; Q96J02; Q96EZ8; Q9UFN0; Q96FA3; Q9HAT8; Q13526; Q05655; Q15796; P04637; Q13625; Q9H3D4; O15350; P57075-2; P46937; Q8TDN4; Q99729; Q99729; Q9UPW6
Q13164,O95816; Q16204; Q13163; Q02078-6; P29590; O00762; Q5TZN3; P17029
Q8IYM9,Q9H8W4
P54829,Q6UXB4; Q07325; O14569; O75355-2; Q9NX47; P78383; P54274; Q5SNT2-2; Q9BSA0; Q9NW97; Q9UEU0
P25054,Q5JTC6; Q8N944; Q9NR80-3; O15169; P60953; P49674; P35221; P35222; Q12959; O14640; P54792; O14641; P14923; Q07666; Q14114; Q15691; Q14160; Q96N96; Q96N96-1; Q96N96-2; Q02248
Q969V5,Q92624; P60410; Q9BRK0; Q9C026
P20023,P01024
P48556,P30041; Q92529
P50402,Q9ULW3; P60709; Q8WTP8; P16157-17; Q68DC2; Q5T686; O75531; Q9NYF8; Q8N7W2-2; Q13895; Q8NEC5; Q8N5R6; Q96S94-5; P20138; Q8NHQ1; Q9HA82; Q8N5K1; Q86T13; P21964; Q7Z7G2; O43889-2; P35222; Q5JRM2; Q5JST6; Q96PL5; Q5JX71; Q969F0; Q5T7V8; Q8TDT2; Q8IUY3; O75031; Q0VD86; Q8N6L0; Q14500; B7U540; Q15842; Q9UGI6-2; Q9HAQ2; P43628; Q9H400; P02545; P02545-1; Q9P127; Q8N8X9; P50221; P50222; Q6FHY5; Q8N4V1; Q9BRJ2; Q7Z6M4; Q6IBW4-4; P35240-4; Q9NQX5; Q9P286; Q9BSJ6; Q04864-2; O60930; Q99962; A6NEL2; Q8WWF3; Q16623; Q12846; Q9UH99; Q8NF91-3; Q8NF91-11; Q8WXH0-3; Q7RTU1; Q8WUU8; Q86VY9; Q5SNT2-2; Q9BTV4; Q4KMG9; Q96HE8; Q9Y320; Q9Y228; Q8IWZ5; O95292; Q6P2D0; Q9NU63-3; Q9NTW7; P49910; Q53Z40; Q9UNY5; Q86UD4; Q9BYN7; Q8TD17; Q6P9A3; Q6NX45; P68135; Q9D666
P35228,P04406
P60321,O95273; P43365; P60903
Q96RN1,P13569; Q9H0H5
Q15399,Q15399; Q9BXR5; O60603
P13726,P55085; P08709; Q9UM19
P31785,P13232; P60410; Q6L8G8; Q7Z3S9
Q14943,Q5SUL5; P01889; P10321; P30511
P29074,P55212; P06307; P46108; Q92993; P13473-2; P53778; P16333; O75400-2
P08253,P05067; PRO_0000000092 [P05067]; PRO_0000000093 [P05067]; P20908; Q8NBP7; Q04864-2; Q8IX30; P16035
P03372,Q12802; Q03989; Q6XD76; Q9Y294; Q8IXJ9; Q6PL18; P18846; P62952; P38398; P20290-2; Q86Y37; P29279; P17676; Q99966; Q9H467; Q9NV06; O00429; O60869; P00533; P03372; Q12778; O43524; Q9Y3R0; O00165; Q6NYC1; O15054; O14686; O95835; Q6ZQX7-4; Q96Q04; Q9BQ69; Q00987; Q15648; P60660; Q15788; Q15596; Q9Y6Q9; Q9UN36; PRO_0000030311 [P19838]; Q96RI1-3; Q9BZ95; Q9BTK6; Q96AQ6-1; P06401; P06401-1; Q99623; P36873; P53041; P55345; P60763; O43251; Q04206; Q14151; Q96HI0; P08047; Q02447; P12931; O15164; Q16881-4; Q93009; Q9UBK9; O76024; Q8N895; P59598; P05627; Q9JLI4; Q60974; P62962; P00523; P03372-1; Q92731; Q92993; Q96AQ6-1; P00533; P29353; P12931
O00522,Q9BSQ5; Q9BSQ5-1; Q9ULI3; O14713; P61086
P68363,Q6RW13; P05067; P37840; Q13509; Q8AZK7; Q8WUW1; P50990
Q14739,Q13185; P45973; P60033
O76090,O76090; Q5J8X5
P55957,O43865; Q16611; Q07812; P10415; Q07817; Q07817-1; Q92843; Q03135; Q96D03; Q07820; Q04864; Q07440; P17361; O43865; Q04864
Q8N7E2,A8MQ03; P59991; Q17RB8; P45984; Q99750; Q8WWB5; Q9NZ81
Q9ULW0,O14965; P27797; P12830; Q15078; P36957; Q08379; P62993; O75330; O00629; P16333; Q8TDX7; P27986
O15455,P27986; O15455
Q8TDS5,Q9NYG5-2; Q8WXK3-2; Q7Z3C6-3; O75909-2; P53672; Q8N7B9-2; Q6NXG1; O75593; P35680; P31943; Q5TA45; P0C870; P60328; Q3LI72; Q9BYR5; Q6L8G9; Q14847-2; Q71SY5; P62166; Q86SG6; Q9BVI4; P32242; Q9NRQ2; O43741; O75360; P86480; P0CG20; Q9BTL3; O43251-10; Q6P9E2; Q9H0X6; Q9H0F5; Q7L0R7; Q92734; Q08117-2; Q12888; A8MV65-2; A0A0C4DGF1; Q96K80; Q15915
P01009,Q9Y282; Q8N7X4; P01009; P43307; O15393; P00772; P71213; P00760
O15529,Q15848; P20292; Q86W74-2; P05090; Q9HD20-3; P51164; Q99437; P27449; Q12983; Q8WVV5; Q9P0B6; Q8NHW4; Q08708; P11912; Q9UHP7-3; P21964; Q4LDR2; Q07325; Q8N682; P52803; P54849; Q7Z2K6; Q92520; Q14802-3; Q9H0Q3; P29033; O14653; O60883; P04921; Q9Y5U9; P24593; Q01638-2; P11215; Q9HDC5; Q09470; Q96E93; O43561-2; O95214; Q8TAF8; Q9UIQ6-2; Q16873; Q6N075; Q6ZSS7; O43451; P11836; Q9NX14; Q9NZG7; Q8IXM6; P42857; P09466; P60201-2; O14494; Q01453; P54315; Q9NS64; Q5QGT7; Q96GQ5; O00767; Q9NRX5; Q8N6R1; A2A2V5; Q9BRI3; Q99726; Q8IWU4; Q6ICL7; Q9H2H9; Q9NVC3; Q9NP94; Q8IVJ1; Q96JW4; Q9NRQ5; Q9BZL3; P02808; P0DN84; Q9UNK0; Q9H7V2; O43759-2; Q9Y6I9; P02787; P48230; P55061; Q9NV12; Q9BVK8; Q6ZP80; Q96HH6; Q96Q45-2; Q8WW34-2; Q9NWH2; E9PQX1; Q3MIR4; Q9H2L4; Q6PI78; Q9NSU2-1; Q5TGU0; A5PKU2; O95070; Q9Y548; Q9BWQ6; Q9BSR8; Q96EC8; O95159
Q01094,P05067; Q14201; P49336; Q92466; Q13547; Q92830; Q96JM7; Q8NEM0; Q9Y618; P09874; Q96IZ0; O14744; P06400; Q14684; Q96EB6; P08047; P42224; Q14186; Q92547; O95361; P03129; Q923E4
P08571,Q12841
Q9UBY5,Q13520; Q3SXY8; Q8WWH4; Q9BXK5; Q6UWD8; P19397; P04233-2; P11912; P57739; O95471; O95484; Q2HXU8-2; Q7Z7G2; Q96BA8; P49447; Q53TN4; Q92838; Q9Y282; Q5JX71; Q96KR6; O15552; Q8TBE3; O95377; Q5T7V8; Q8TED1; Q8N5M9; P48547; P48051; O95214; Q8TAF8; Q9H400; Q9GZY8-5; O14880; Q6IN84; Q96JQ5; Q8N183; P35372-10; O15173; Q8NC24; Q86VR2; Q9NY72; Q8NHU3; Q3SXP7; Q3KNW5; Q9NQQ7-3; O14948-3; Q8WY91; Q9NUH8; Q96Q45-2; Q96HV5; Q4KMG9; Q9BUB7; Q9BSE2
P02812,Q12797-6; Q96C03-3
