Entry,Interacts with
Q99816,Q96IF1; O95429; Q9ULD4-2; Q8TC20-4; Q9Y3M2; A6NC98; Q8TD31-3; Q9Y5K6; Q53EZ4; Q96MT8-3; Q96RK0; Q9UER7; Q9BQ89; Q8IZU0; Q9NZ52; Q8NBJ4; Q96CS2; O14964; Q96JZ2; Q0VD86; P46940; Q86T90; Q9BVG8; A1A4E9; P08779; P05783; Q15323; O76011; Q92764; O95678; P80188; Q96PV6; Q99732; Q8TBB1; Q6UWE0; Q14676; O60291; Q8WU39; Q9NR12; Q96KN3; Q96KQ4; Q9H3S7; Q13464; Q6ZMJ2-2; O95295; Q8N0S2; Q86VP1; Q9UBB9; Q15025; Q9BYV2; Q8N7C3; Q8N6Y0; Q9UK41; Q9UK41-2; Q8NEZ2; Q8NEZ2-2; Q9H9H4; A5D8V6; P49750; O95229; Q99LI8; O14964; PRO_0000038598 [P04591]
Q8TD17,P29972; Q9NX04; Q9NP86; O14647-3; Q96Q77; P49760; Q92556; P50402; Q9NWQ4; Q96A72; P55081; Q9UBB6; Q9BRQ3; Q96CV9; Q9H8W4; Q8WV44; Q6ZMS7; Q6ZMS7-2
Q9H1Y0,Q9H0Y0; Q676U5; Q9Y6H3; Q8WUD4; Q8TD31-3; O95786-1; Q8IXW7; O95166; Q4V328; Q96ED9-2; Q0VD86; Q14145; Q86T90; Q9Y6D9; Q9GZQ8; Q7Z434-1; A5LHX3; Q8TDY2; Q7Z6L1; Q8WW24; P09936; Q8IZQ1; Q8C0J2-3
P35372,Q9Y679; Q92905; Q8TEW6; P21333; P35212; Q9H3P2; PRO_0000008243 [P01210]; Q96S59; Q8IUQ4; O43255; Q9P0L0; Q5T9L3; Q15942; Q08AM2; P20292; P27449; O15342; O14523; Q9P0B6; Q8IX05; P51798; P78369; Q8N7P3; P56748; Q2HXU8-2; Q9BXN2-6; O95406; Q4LDR2; P49447; Q08426; P54849; P54852; Q01628; O43561-2; Q9UBY5; Q8N386; P21145; Q13021; Q9H492; Q9BXW4; Q9GZY8-5; P42857; Q8IV08; Q01453; Q9NS64; O95968; Q96IW7; Q8N6R1; Q9BRI3; Q9NVC3; Q8IVJ1; Q0VAQ4; Q9Y6I9; P48230; P55061; Q5W0B7; A5PKU2
P29466,Q5XLA6; P57730; P29466; P09038; P57764; P01583; O15553; O15553-2; Q9NPP4; Q9C000; Q9HC29; Q9ULZ3; P58753-2; Q08AM6; P05067; P54252; Q13867; P14136; P42858; Q13387-4; P27986-2; O14494; O60260-5; P49810; P84022; Q9BX74; O60784-2; Q08AM6; Q9UBQ0-2; O76024; P01583
O75832,O00299; Q12849; Q9NWT6; P0DMV8; P43358; O43639; P43686
Q14627,P36222; P35225; P17931; Q8IY26; Q86XT9
Q9NSU2,Q13520; P60033; Q8N7P3; Q9BUF7-2; P49447; A8MQ03; Q15125; Q9GZR5; Q8TBP5; O14843; Q8TBE3; P36382; Q9NS71; O15529; Q7Z5P4; P38484; Q8N5M9; Q8WXH2; P60409; Q5SR56; O00623; Q9UKY0; Q8IUW5; Q6P5S7; Q9BY50; Q3KNW5; Q8TBB6; Q96CE8; Q6UW68; Q6UWW9; Q96B21; Q8N661; Q9Y320
Q14005,P08133; Q86V38; P46379-2; Q9H2G9; A0A087WZT3; Q13137; Q14012; Q9BWT7; Q52MB2; Q9P209; Q96A83-2; P02489; A8MQ03; G5E9A7; Q16829; Q14204; O95967; P00488; Q86V42; Q14192; Q5TD97; Q9C0B1-2; Q06547; P14136; O14908-2; Q08379; A6NEM1; P28799; Q96ED9-2; O75031; P04792; P42858; Q96N16; Q63ZY3; Q7L273; Q96L93-6; O60333-2; Q9BVG8-5; O14901; Q92876; Q15323; O43790; Q07627; Q8IUG1; P60410; Q9BYR8; Q96JM7-2; Q8TCE9; P02545; Q8TAP4-4; Q8TBB1; Q8WWY6; Q9UJV3-2; Q8N344; Q5JR59-3; P15173; P07196; Q86UR1-2; Q96HA8; O43482; Q9NR12; Q99471; Q9NRD5; D3DTS7; Q96I34; Q9NQX0; P60891; Q9NZ81; O43586; Q17RH5; Q9BYM8; Q9Y3C5; Q9UJW9; Q12824-2; Q5JUK2; Q7Z699; Q96N21; Q9UBB9; Q96RU7; P36406; P14373; Q8IWZ5; Q5T124-6; Q8N6Y0; O76024; Q9GZV5; O15060; Q9NZV7; P52747; P49910; Q6S9Z5; Q8TF50; Q7Z3I7; Q9P0T4; Q6ZNG0; Q6NX45; Q9ULD5; Q9Y2P0; Q9UGI0
P37231,Q8NFM4; P10909; O60869; Q9BWX5; P42858; P45984; O75376; P55055-1; Q13133; P37231; Q9UBK2; P10276; P19793; P28702; Q96EB6; Q6STE5-1; Q6STE5-2; P37231-1; P19793; Q00535
